data_size,scikit_auc,method,epsilon,n_steps,partitions,AUC,time_in_s
100,0.8916,MPC+DP,0,10,1,0.8814,0.55
100,0.8916,MPC+DP,0.3,10,1,1.1994,0.75
100,0.8916,MPC+DP,1,10,1,0.9689,0.66
100,0.8916,MPC+DP,3,10,1,0.9098,0.55
100,0.8916,MPC+DP,9,10,1,0.8908,0.53
100,0.8916,DP,0,0,0,0.8916,0.002
100,0.8916,DP,0.3,0,0,1.2287,0.002
100,0.8916,DP,1,0,0,0.8963,0.002
100,0.8916,DP,3,0,0,0.8918,0.002
100,0.8916,DP,9,0,0,0.8931,0.001
1000,0.9385,MPC+DP,0,10,1,0.9249,0.56
1000,0.9385,MPC+DP,0.3,10,1,0.9267,0.56
1000,0.9385,MPC+DP,1,10,1,0.9255,0.53
1000,0.9385,MPC+DP,3,10,1,0.9234,0.58
1000,0.9385,MPC+DP,9,10,1,0.9233,0.61
1000,0.9385,DP,0,0,0,0.9385,0.015
1000,0.9385,DP,0.3,0,0,0.9371,0.017
1000,0.9385,DP,1,0,0,0.9372,0.017
1000,0.9385,DP,3,0,0,0.938,0.015
1000,0.9385,DP,9,0,0,0.9387,0.013
10000,0.9114,MPC+DP,0,10,1,-94.99,0.8
10000,0.9114,MPC+DP,0.3,10,1,1.0107,0.87
10000,0.9114,MPC+DP,1,10,1,0.8418,0.78
10000,0.9114,MPC+DP,3,10,1,0.8417,0.8
10000,0.9114,MPC+DP,9,10,1,1.01,0.99
10000,0.9114,DP,0,0,0,0.9114,0.44
10000,0.9114,DP,0.3,0,0,0.9115,0.49
10000,0.9114,DP,1,0,0,0.9114,0.5
10000,0.9114,DP,3,0,0,0.9114,0.5
10000,0.9114,DP,9,0,0,0.9113,0.5
100,0.8916,MPC+DP,0,25,1,0.8934,0.9
100,0.8916,MPC+DP,0.3,25,1,1.035,0.92
100,0.8916,MPC+DP,1,25,1,0.928,0.93
100,0.8916,MPC+DP,3,25,1,0.9042,0.97
100,0.8916,MPC+DP,9,25,1,0.8969,0.99
100,0.8916,DP,0,0,0,0.8916,0.002
100,0.8916,DP,0.3,0,0,1.0993,0.002
100,0.8916,DP,1,0,0,0.8965,0.002
100,0.8916,DP,3,0,0,0.892,0.002
100,0.8916,DP,9,0,0,0.8932,0.002
1000,0.9385,MPC+DP,0,25,1,0.9373,0.97
1000,0.9385,MPC+DP,0.3,25,1,0.9433,1
1000,0.9385,MPC+DP,1,25,1,0.9391,0.97
1000,0.9385,MPC+DP,3,25,1,0.9379,1
1000,0.9385,MPC+DP,9,25,1,0.9375,1.03
1000,0.9385,DP,0,0,0,0.9385,0.015
1000,0.9385,DP,0.3,0,0,0.9476,0.019
1000,0.9385,DP,1,0,0,0.9386,0.018
1000,0.9385,DP,3,0,0,0.9378,0.017
1000,0.9385,DP,9,0,0,0.9386,0.017
10000,0.9114,MPC+DP,0,25,1,0.8474,1.6
10000,0.9114,MPC+DP,0.3,25,1,0.8472,1.71
10000,0.9114,MPC+DP,1,25,1,1.0168,1.51
10000,0.9114,MPC+DP,3,25,1,0.8474,1.61
10000,0.9114,MPC+DP,9,25,1,1.0168,1.69
10000,0.9114,DP,0,0,0,0.9114,0.48
10000,0.9114,DP,0.3,0,0,0.9117,0.52
10000,0.9114,DP,1,0,0,0.9114,0.51
10000,0.9114,DP,3,0,0,0.9114,0.49
10000,0.9114,DP,9,0,0,0.9114,0.51
100,0.8916,MPC+DP,0,50,1,0.8888,1.53
100,0.8916,MPC+DP,0.3,50,1,0.7678,1.78
100,0.8916,MPC+DP,1,50,1,0.8631,1.61
100,0.8916,MPC+DP,3,50,1,0.8812,1.54
100,0.8916,MPC+DP,9,50,1,0.8864,1.7
100,0.8916,DP,0,0,0,0.8916,0.001
100,0.8916,DP,0.3,0,0,0.9637,0.001
100,0.8916,DP,1,0,0,1.01,0.001
100,0.8916,DP,3,0,0,0.9092,0.001
100,0.8916,DP,9,0,0,0.8912,0.001
1000,0.9385,MPC+DP,0,50,1,0.9385,1.68
1000,0.9385,MPC+DP,0.3,50,1,0.9272,1.86
1000,0.9385,MPC+DP,1,50,1,0.9351,1.83
1000,0.9385,MPC+DP,3,50,1,0.9373,1.64
1000,0.9385,MPC+DP,9,50,1,0.9381,1.68
1000,0.9385,DP,0,0,0,0.9385,0.02
1000,0.9385,DP,0.3,0,0,0.9501,0.02
1000,0.9385,DP,1,0,0,0.9441,0.02
1000,0.9385,DP,3,0,0,0.9379,0.02
1000,0.9385,DP,9,0,0,0.9383,0.02
10000,0.9114,MPC+DP,0,50,1,0.8483,3
10000,0.9114,MPC+DP,0.3,50,1,0.8479,2.8
10000,0.9114,MPC+DP,1,50,1,1.0178,2.7
10000,0.9114,MPC+DP,3,50,1,0.6786,3.11
10000,0.9114,MPC+DP,9,50,1,0.8483,2.99
10000,0.9114,DP,0,0,0,0.9114,0.43
10000,0.9114,DP,0.3,0,0,0.91,0.44
10000,0.9114,DP,1,0,0,0.9112,0.46
10000,0.9114,DP,3,0,0,0.9111,0.45
10000,0.9114,DP,9,0,0,0.9114,0.45
100,0.8916,MPC+DP,0,75,1,0.8926,2.15
100,0.8916,MPC+DP,0.3,75,1,0.7964,2.25
100,0.8916,MPC+DP,1,75,1,0.8668,2.21
100,0.8916,MPC+DP,3,75,1,0.8843,2.28
100,0.8916,MPC+DP,9,75,1,0.8899,2.33
100,0.8916,DP,0,0,0,0.8916,0.001
100,0.8916,DP,0.3,0,0,0.9821,0.001
100,0.8916,DP,1,0,0,0.9136,0.001
100,0.8916,DP,3,0,0,0.8859,0.001
100,0.8916,DP,9,0,0,0.8904,0.001
1000,0.9385,MPC+DP,0,75,1,0.9385,2.6
1000,0.9385,MPC+DP,0.3,75,1,0.9488,2.36
1000,0.9385,MPC+DP,1,75,1,0.9403,2.57
1000,0.9385,MPC+DP,3,75,1,0.9379,2.58
1000,0.9385,MPC+DP,9,75,1,0.9389,2.22
1000,0.9385,DP,0,0,0,0.9385,0.01
1000,0.9385,DP,0.3,0,0,0.9285,0.01
1000,0.9385,DP,1,0,0,0.9373,0.01
1000,0.9385,DP,3,0,0,0.9391,0.01
1000,0.9385,DP,9,0,0,0.9389,0.01
10000,0.9114,MPC+DP,0,75,1,1.0184,4.3
10000,0.9114,MPC+DP,0.3,75,1,0.8489,4.35
10000,0.9114,MPC+DP,1,75,1,0.8487,3.46
10000,0.9114,MPC+DP,3,75,1,0.8487,3.25
10000,0.9114,MPC+DP,9,75,1,0.8486,3.39
10000,0.9114,DP,0,0,0,0.9114,0.33
10000,0.9114,DP,0.3,0,0,0.9122,0.35
10000,0.9114,DP,1,0,0,0.9123,0.36
10000,0.9114,DP,3,0,0,0.9114,0.36
10000,0.9114,DP,9,0,0,0.9114,0.38
100,0.8916,MPC+DP,0,100,1,0.8926,2.76
100,0.8916,MPC+DP,0.3,100,1,0.9405,2.76
100,0.8916,MPC+DP,1,100,1,0.9198,2.9
100,0.8916,MPC+DP,3,100,1,0.9029,3
100,0.8916,MPC+DP,9,100,1,0.8962,3.02
100,0.8916,DP,0,0,0,0.8916,0.001
100,0.8916,DP,0.3,0,0,0.9443,0.001
100,0.8916,DP,1,0,0,0.8694,0.001
100,0.8916,DP,3,0,0,0.8958,0.001
100,0.8916,DP,9,0,0,0.8901,0.001
1000,0.9385,MPC+DP,0,100,1,0.9389,3.16
1000,0.9385,MPC+DP,0.3,100,1,0.9346,3.42
1000,0.9385,MPC+DP,1,100,1,0.9358,2.96
1000,0.9385,MPC+DP,3,100,1,0.9367,3.2
1000,0.9385,MPC+DP,9,100,1,0.9388,3.56
1000,0.9385,DP,0,0,0,0.9385,0.01
1000,0.9385,DP,0.3,0,0,0.939,0.01
1000,0.9385,DP,1,0,0,0.9385,0.02
1000,0.9385,DP,3,0,0,0.938,0.02
1000,0.9385,DP,9,0,0,0.9385,0.02
10000,0.9114,MPC+DP,0,100,1,-79.1513,4.78
10000,0.9114,MPC+DP,0.3,100,1,0.8488,4.33
10000,0.9114,MPC+DP,1,100,1,0.8487,4.12
10000,0.9114,MPC+DP,3,100,1,0.8487,3.55
10000,0.9114,MPC+DP,9,100,1,0.8487,3.81
10000,0.9114,DP,0,0,0,0.9114,0.32
10000,0.9114,DP,0.3,0,0,0.9126,0.32
10000,0.9114,DP,1,0,0,0.9111,0.34
10000,0.9114,DP,3,0,0,0.9113,0.34
10000,0.9114,DP,9,0,0,0.9113,0.32
100000,0.954,MPC+DP,0,100,1,-331135,534.7
100000,0.954,MPC+DP,0.3,100,1,190840,551
100000,0.954,MPC+DP,1,100,1,-259713,585.3
100000,0.954,MPC+DP,3,100,1,-224868,484.3
100000,0.954,MPC+DP,9,100,1,-285732,400.9
100000,0.954,DP,0,0,0,0.954,37.4
100000,0.954,DP,0.3,0,0,0.954,38.7
100000,0.954,DP,1,0,0,0.954,38.7
100000,0.954,DP,3,0,0,0.954,38.5
100000,0.954,DP,9,0,0,0.954,39.35
